loss,precision,recall,specificity,accuracy,auroc,val_acc
0.40884608030319214,0.5730201005935669,0.25727513432502747,0.9527266025543213,0.811677734375,0.7893379076462007,81.525
0.3321244567632675,0.6888888776302338,0.5630811154842377,0.9374260306358337,0.8624140625000001,0.8720178240466897,86.35
0.31205175817012787,0.7141124606132507,0.5680446326732635,0.9439885914325714,0.86846875,0.8883836113411412,86.975
0.29621121287345886,0.7519015967845917,0.5989174246788025,0.9511984884738922,0.87825,0.8977719941638079,88.15
0.28796519339084625,0.744532972574234,0.6318898797035217,0.946517825126648,0.88108984375,0.9028778737331914,88.425
0.27789103984832764,0.7846000492572784,0.635421484708786,0.9565626382827759,0.8888828125,0.9086308608383612,89.3
0.2703734040260315,0.7977921664714813,0.6332126259803772,0.9602541923522949,0.89159765625,0.9133530501991404,89.55
0.2674567699432373,0.8011137545108795,0.6388439238071442,0.9608293175697327,0.895890625,0.9155771126621712,89.725
0.2663654536008835,0.7973430454730988,0.650312066078186,0.9590076208114624,0.8955332031250001,0.9176004574312867,89.8
0.2643975615501404,0.783955454826355,0.6658576130867004,0.954632580280304,0.89455078125,0.9197681296581096,89.75
0.26452067494392395,0.7898116707801819,0.6467804312705994,0.9574313461780548,0.8933125,0.9207799992113254,89.6
0.2570038139820099,0.8072842359542847,0.6402758657932281,0.9621120095252991,0.8960273437499999,0.9263626325959226,89.85
0.2530461251735687,0.8038811087608337,0.64998459815979,0.9608293175697327,0.898724609375,0.9277846129579242,89.95
0.25329431891441345,0.8070597052574158,0.652957558631897,0.9614526033401489,0.898736328125,0.9274797902125478,90.05
0.24976187944412231,0.8087596297264099,0.6509798467159271,0.9620518386363983,0.90105859375,0.9312135730904214,90.075
0.25442682206630707,0.7768870294094086,0.677666038274765,0.9518338143825531,0.89662890625,0.9280870696794037,89.775
0.24566491693258286,0.8030025660991669,0.6660887598991394,0.9595947861671448,0.90155859375,0.9324713119602508,90.175
0.2469535693526268,0.7945000231266022,0.6895836591720581,0.9561245739459991,0.905732421875,0.9324287235301076,90.375
0.2429911494255066,0.8083608746528625,0.6762341558933258,0.9602421522140503,0.903541015625,0.934645687921448,90.425
0.2450682297348976,0.7947033941745758,0.6947654783725739,0.9558189511299133,0.906107421875,0.9348834733230805,90.45
0.24571236222982407,0.79283607006073,0.6901294589042664,0.9555253684520721,0.9035292968749999,0.9337749911274105,90.325
0.24535305798053741,0.8029569089412689,0.677338570356369,0.9589594602584839,0.9038984375,0.9348361528451438,90.35
0.24606599658727646,0.7929383814334869,0.6964157223701477,0.9549502432346344,0.903416015625,0.934046689538231,90.4
0.24318767338991165,0.7928330302238464,0.6861611902713776,0.9555735290050507,0.9021777343749999,0.9360968492448439,90.25
0.24501688033342361,0.8094156384468079,0.6734794676303864,0.9608293175697327,0.90476171875,0.9356327142237468,90.425
0.24285516142845154,0.7945864796638489,0.6923383176326752,0.9558430314064026,0.904880859375,0.9363184668165149,90.4
0.24226603657007217,0.7947601974010468,0.6899111270904541,0.9558791518211365,0.90341015625,0.9365136637880042,90.35
0.24180468171834946,0.7908490598201752,0.6936610639095306,0.954363077878952,0.90218359375,0.9368839465278598,90.3
0.24273188412189484,0.7971179485321045,0.6775569021701813,0.9574072659015656,0.902052734375,0.9370061910958635,90.225
0.24280313402414322,0.7831080257892609,0.6975201666355133,0.9521514773368835,0.9016835937500001,0.9367423794313656,90.2
0.24097387492656708,0.8011931777000427,0.6939885318279266,0.9574193060398102,0.905142578125,0.9373106195039238,90.55
0.24145466834306717,0.8066258728504181,0.6902386248111725,0.9592410027980804,0.90673828125,0.9375077881619938,90.625
0.2409498393535614,0.8097038567066193,0.6914522051811218,0.959888368844986,0.90711328125,0.9381943294293938,90.7
0.23958845436573029,0.8103046715259552,0.7030294835567474,0.959289163351059,0.90798828125,0.9378642690957846,90.875
0.24062225967645645,0.7882875502109528,0.7013792395591736,0.9533860087394714,0.90353515625,0.9382379037028274,90.375
0.23961156606674194,0.7930473685264587,0.7052383720874786,0.9545964598655701,0.905875,0.9387503450451516,90.55
0.23917728662490845,0.8006638586521149,0.7039155960083008,0.9567719399929047,0.9076015625,0.9390023265901651,90.7
0.2384350448846817,0.805740088224411,0.701706737279892,0.9583120942115784,0.9079765625,0.9392888126503409,90.775
0.23795294761657715,0.8078672587871552,0.7055658400058746,0.9586297571659088,0.908720703125,0.9392046216333452,90.875
0.240529403090477,0.8016150295734406,0.7014884054660797,0.9571016430854797,0.906744140625,0.9386576757758586,90.675
0.2406393140554428,0.8002246022224426,0.6954204440116882,0.9571016430854797,0.9048984375,0.938714854686699,90.55
0.2397085279226303,0.7984208762645721,0.704133927822113,0.9561486542224884,0.9066191406249999,0.9389337118971569,90.65
0.23853769898414612,0.8095250427722931,0.7014884054660797,0.9592650830745697,0.90883984375,0.9394672502858946,90.85
0.23925847560167313,0.7994191348552704,0.7001656591892242,0.9567478597164154,0.9072265625,0.9392479987381205,90.625
0.24035920947790146,0.8009434044361115,0.7013792395591736,0.9570655226707458,0.907720703125,0.9389147837059821,90.675
0.23978564143180847,0.8025988638401031,0.6975201666355133,0.9577008485794067,0.9073515624999999,0.9391040656177294,90.65
0.24013173580169678,0.8052146136760712,0.6976293325424194,0.9583361744880676,0.907357421875,0.9390401829725147,90.7
0.23995395749807358,0.8005654215812683,0.6988429129123688,0.9570775628089905,0.906982421875,0.9390835600772901,90.625
0.23996872454881668,0.8025988638401031,0.6975201666355133,0.9577008485794067,0.9073515624999999,0.9390756733309672,90.65
