loss,precision,recall,specificity,accuracy,auroc
0.4136759518157868,0.5068507086308229,0.10644371946996432,0.9758271496920359,0.8006704389931875,0.7455158450955311
0.3340143582650593,0.6811698235216594,0.3867414350665751,0.9603000198091779,0.8481580287091459,0.8577251825127115
0.2956818984377952,0.7295451114575068,0.5082628645357632,0.9583101400307247,0.87347971427261,0.891814981049535
0.27885801895033746,0.7437728707279477,0.5566867948288009,0.9576080860126586,0.882697128717699,0.9042229752600259
0.2686082376610665,0.753292740100906,0.5807972958400136,0.957908951100849,0.88818652776153,0.9112466813765911
0.26111062953159925,0.7654965079966045,0.6020471680732,0.9591959438153675,0.8932372455624596,0.9160547859254065
0.2560122458352929,0.7721849417402631,0.6086182409808749,0.9601839071228391,0.893940131772374,0.9194438047130657
0.2499008606232348,0.7755255677870342,0.6199319788387844,0.9603206898484912,0.897853787092211,0.9231216894798295
0.24582301257621675,0.7813307508116677,0.6321839768262136,0.9608580541043055,0.9002036144352765,0.9260299525094664
0.24198431308780396,0.7867540880328133,0.6344697248368036,0.9619469770363399,0.9015836919247281,0.928200204071956
0.2389236120950608,0.7908544575884229,0.6444828134207499,0.9623085196529116,0.90571087680963,0.9301364067897915
0.2365772940573238,0.7901535750854582,0.6448867441642852,0.962059023124831,0.9033127290953218,0.9317216558212924
0.23323066568090803,0.7938254454306194,0.6545842126721427,0.9623309820890427,0.9076970806624218,0.9338082482771126
0.23041137183705965,0.7949746811673755,0.6597644111939839,0.9623633318004154,0.9060845891303136,0.9356174937387435
0.22874070349193754,0.7975187301635742,0.6643961121638616,0.9626073376053855,0.9087666126375431,0.9363795306132012
0.22622551325531232,0.8000724294355938,0.6647208780050278,0.9632358451684316,0.9093213681301587,0.937831703980459
0.22389974995028405,0.8038503016744342,0.6744954983393351,0.9636381623290834,0.9114543598378692,0.9391153391339555
0.22113297099158877,0.8055497386625835,0.675180931176458,0.9639648177794048,0.9130149239336224,0.9408269883819009
0.21961184768449693,0.8068873413971492,0.6797521717491604,0.9639707796630406,0.9133846165442331,0.9415282705318465
0.2179746711183162,0.809241927805401,0.681686132436707,0.9644439341056914,0.9131516649443784,0.9427022062432536
0.21615006969798178,0.8114959228606451,0.6864240517218908,0.9646684676408768,0.9138714108213112,0.9435464233833715
0.2152780576476029,0.8079004450922921,0.685539233542624,0.9639818675461269,0.9132064604860611,0.944110388402571
0.21389473140949294,0.81500353486765,0.6903495178336189,0.9652927957829975,0.9152165697340122,0.9447141450685265
0.2123211466130756,0.8138729745433444,0.6944437651407152,0.9648368940466926,0.9154455585981334,0.9455197728509471
0.21096886499297052,0.8155145467746825,0.6948957173597246,0.9652374982833862,0.9155585103574355,0.9461556098904701
0.20982754035365014,0.8153176023846581,0.6964904247295289,0.9650836296024776,0.916956912145997,0.9470490111409804
0.20896198228001595,0.8200893366620654,0.6982186202492032,0.9660827198198864,0.9186281922901964,0.9472406399956214
0.20678139194136574,0.8235984785216195,0.7023515992221379,0.9667293443566277,0.9195995958010104,0.9481696395827731
0.20646336390858605,0.8197234138136819,0.7038552867514747,0.9658051594382241,0.9180193887516481,0.9485595656784606
0.20569055846759252,0.821015090459869,0.7025032653695061,0.9661546597878138,0.9177066878535063,0.9490893567945702
0.20575291007047608,0.8198921155361902,0.7030949351333436,0.9658032308022181,0.9188144101623281,0.9492171550511606
0.2042580550270421,0.8232374617031643,0.7048320507719403,0.9665581356911432,0.9183521791963756,0.9499103513267826
0.20331932852665582,0.825242206454277,0.7092308139517194,0.9667729572171256,0.920365830996975,0.950173557012348
0.20280373043247632,0.8260859996080399,0.7076125208820615,0.9670429854165941,0.9197665251096503,0.9506137495795576
0.20228275585742223,0.8253895399116334,0.7099092035066514,0.9667581064360482,0.9203158063948387,0.9508550927279038
0.201405937650374,0.8267881600629716,0.707628770953133,0.9672358227627618,0.9201967111521006,0.9512779876593699
0.2011765062454201,0.8245314686071306,0.7108072028273628,0.9666079680124918,0.9199835659322397,0.9513979326045789
0.20003939916690192,0.8273466066235587,0.7133014344033741,0.9670830276750383,0.9203065572595787,0.9519986353915003
0.1995303084452947,0.8283465199527287,0.7149035185575485,0.9671835274923415,0.921668200133256,0.9522047468168627
0.19962798520213082,0.8268096972079504,0.7114975055058798,0.9670572075105849,0.9207204630920737,0.9523258835169203
0.1990245875148546,0.8272159518230529,0.7127585382688613,0.9671114775396529,0.9213423316085789,0.952567620945695
0.19944704111133302,0.8278699190843672,0.7125701655944189,0.9672567319302332,0.9197133096761417,0.9522567965796369
0.199208670428821,0.8267987370491028,0.7127648840347925,0.9669148105950582,0.9209415011183959,0.9524942492474637
0.1975165633928208,0.8295784479095822,0.7156972111690612,0.967474245599338,0.9219991629016034,0.9532969479407217
0.19754128849932126,0.8280033086027417,0.7163265368768147,0.9670990464233217,0.9220613860210339,0.9531680336366815
0.19860704668930598,0.8285789298159736,0.7133305604968753,0.9673286342904681,0.9210049615298427,0.9529290238737147
0.19710553242337137,0.8323543540069035,0.7163352441220057,0.968130689291727,0.9214532597762238,0.9531317455986915
0.19794344156980515,0.8302046067657924,0.7159349634533837,0.9676084830647423,0.9232603920706881,0.9531105591030762
0.19785544985816592,0.8291684481359664,0.7156516498043424,0.9673833137466794,0.9234073054696474,0.9532246952997142
0.19773403448717936,0.8305555965219226,0.7168080650624775,0.9676661938428879,0.9217880739161016,0.9531423650083829
